Sim: 4
ID: 2
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 4
time A mass_flux Ma
0.000003139 0.053014376 2213.857728540 0.142465731 
0.000012276 0.053014376 2393.233250214 0.154946895 
0.000020803 0.053014376 2401.781268056 0.155641392 
0.000029201 0.053014376 2402.223771326 0.155713354 
0.000037545 0.053014376 2402.089994311 0.155719777 
0.000045824 0.053014376 2401.939628966 0.155715361 
0.000054047 0.053014376 2401.815407189 0.155709144 
0.000062243 0.053014376 2401.714351892 0.155703169 
0.000070432 0.053014376 2401.630930864 0.155697884 
0.000078622 0.053014376 2401.560901498 0.155693313 
0.000086812 0.053014376 2401.501208882 0.155689363 
0.000094998 0.053014376 2401.449553385 0.155685925 
0.000103175 0.053014376 2401.403073970 0.155682824 
0.000111338 0.053014376 2401.348657673 0.155679191 
0.000119485 0.053014376 2401.209338830 0.155669896 
0.000127613 0.053014376 2400.646981451 0.155632380 
0.000135719 0.053014376 2398.575721505 0.155494182 
0.000143802 0.053014376 2392.377875278 0.155080609 
0.000151857 0.053014376 2377.207791399 0.154068481 
0.000159881 0.053014376 2346.111553811 0.151995082 
0.000167870 0.053014376 2291.492741250 0.148358224 
0.000175817 0.053014376 2207.665515823 0.142789246 
0.000183719 0.053014376 2093.393351311 0.135222272 
0.000191573 0.053014376 1953.062955313 0.125966918 
0.000199382 0.053014376 1795.801248287 0.115640487 
0.000207153 0.053014376 1633.051302478 0.105000481 
0.000214890 0.053014376 1475.890019912 0.094767093 
0.000222599 0.053014376 1333.154926060 0.085504992 
0.000230281 0.053014376 1210.721627947 0.077582343 
0.000237933 0.053014376 1111.666796094 0.071186176 
0.000245556 0.053014376 1036.824755016 0.066360957 
0.000253145 0.053014376 985.349990777 0.063045723 
0.000260699 0.053014376 955.120188292 0.061099908 
0.000268214 0.053014376 942.985457441 0.060318855 
0.000275685 0.053014376 944.951016251 0.060444920 
0.000283063 0.053014376 956.322996650 0.061176207 
0.000290312 0.053014376 972.148574367 0.062194328 
0.000297452 0.053014376 988.028210139 0.063216316 
0.000304494 0.053014376 1000.473303864 0.064017570 
0.000311443 0.053014376 1007.182367222 0.064449737 
0.000318299 0.053014376 1007.178246612 0.064449732 
0.000325064 0.053014376 1000.711125791 0.064033611 
0.000331742 0.053014376 988.959035007 0.063277290 
0.000338335 0.053014376 973.636220678 0.062291256 
0.000344846 0.053014376 956.617782963 0.061196302 
0.000351280 0.053014376 939.655964310 0.060105219 
0.000357640 0.053014376 924.217744133 0.059112343 
0.000363928 0.053014376 911.432633236 0.058290227 
0.000370150 0.053014376 902.117826590 0.057691311 
0.000376307 0.053014376 896.844688373 0.057352228 
0.000382403 0.053014376 896.016883471 0.057298866 
0.000388442 0.053014376 899.941192771 0.057550929 
0.000394426 0.053014376 908.880726044 0.058125382 
0.000400359 0.053014376 923.086676011 0.059038500 
0.000406244 0.053014376 942.808664516 0.060306552 
0.000412083 0.053014376 968.286758147 0.061945305 
0.000417879 0.053014376 999.730045088 0.063968668 
0.000423635 0.053014376 1037.288115212 0.066386877 
0.000429353 0.053014376 1081.022184619 0.069204650 
0.000435035 0.053014376 1130.881881374 0.072419697 
0.000440684 0.053014376 1186.691967088 0.076021857 
0.000446302 0.053014376 1248.150889998 0.079992979 
0.000451890 0.053014376 1314.840722407 0.084307524 
0.000457450 0.053014376 1386.246485468 0.088933761 
0.000462984 0.053014376 1461.785322077 0.093835589 
0.000468495 0.053014376 1540.852682150 0.098975471 
0.000473986 0.053014376 1622.831299015 0.104314961 
0.000479461 0.053014376 1707.104689899 0.109815522 
0.000484921 0.053014376 1793.074730821 0.115439622 
0.000490368 0.053014376 1880.175526347 0.121151600 
0.000495804 0.053014376 1967.883357382 0.126918290 
0.000501229 0.053014376 2055.722867851 0.132709415 
0.000506645 0.053014376 2143.269943278 0.138497774 
0.000512052 0.053014376 2230.151892967 0.144259264 
0.000517450 0.053014376 2316.045594949 0.149972776 
0.000522841 0.053014376 2400.674243309 0.155620003 
0.000528224 0.053014376 2483.803253768 0.161185195 
0.000533600 0.053014376 2565.235774364 0.166654891 
0.000538969 0.053014376 2644.808158463 0.172017644 
0.000544331 0.053014376 2722.385651911 0.177263763 
0.000549687 0.053014376 2797.858445863 0.182385078 
0.000555038 0.053014376 2871.138176391 0.187374726 
0.000560382 0.053014376 2942.154902892 0.192226973 
0.000565722 0.053014376 3010.854557484 0.196937068 
0.000571057 0.053014376 3077.196846113 0.201501117 
0.000576388 0.053014376 3141.153583121 0.205915991 
0.000581715 0.053014376 3202.707423166 0.210179259 
0.000587039 0.053014376 3261.850940041 0.214289143 
0.000592360 0.053014376 3318.585997173 0.218244488 
0.000597678 0.053014376 3372.923345624 0.222044754 
0.000602993 0.053014376 3424.882375818 0.225690015 
0.000608307 0.053014376 3474.490946477 0.229180955 
0.000613619 0.053014376 3521.785216119 0.232518878 
0.000618929 0.053014376 3566.809409159 0.235705699 
0.000624237 0.053014376 3609.615461199 0.238743930 
0.000629544 0.053014376 3650.262501746 0.241636658 
0.000634850 0.053014376 3688.816150075 0.244387494 
0.000640154 0.053014376 3725.347623778 0.247000525 
0.000645456 0.053014376 3759.932678309 0.249480235 
0.000650757 0.053014376 3792.650409365 0.251831427 
0.000656057 0.053014376 3823.581961983 0.254059127 
0.000661354 0.053014376 3852.809197717 0.256168489 
0.000666650 0.053014376 3880.413372803 0.258164697 
0.000671944 0.053014376 3906.473876648 0.260052869 
0.000677236 0.053014376 3931.067072301 0.261837970 
0.000682525 0.053014376 3954.265270018 0.263524731 
0.000687812 0.053014376 3976.135852934 0.265117580 
0.000693096 0.053014376 3996.740561749 0.266620586 
0.000698377 0.053014376 4016.134935020 0.268037407 
0.000703655 0.053014376 4034.367893347 0.269371263 
0.000708930 0.053014376 4051.481449529 0.270624899 
0.000714201 0.053014376 4067.510524304 0.271800574 
0.000719469 0.053014376 4082.482848000 0.272900048 
0.000724733 0.053014376 4096.418931303 0.273924572 
0.000729993 0.053014376 4109.332093290 0.274874891 
0.000735249 0.053014376 4121.228539956 0.275751244 
0.000740501 0.053014376 4132.107490449 0.276553373 
0.000745749 0.053014376 4141.961354366 0.277280530 
0.000750993 0.053014376 4150.775968536 0.277931501 
0.000756233 0.053014376 4158.530902760 0.278504618 
0.000761470 0.053014376 4165.199844054 0.278997796 
0.000766703 0.053014376 4170.751068743 0.279408563 
0.000771932 0.053014376 4175.148009465 0.279734106 
0.000777158 0.053014376 4178.349921065 0.279971322 
0.000782381 0.053014376 4180.312645415 0.280116875 
0.000787601 0.053014376 4180.989470990 0.280167265 
0.000792817 0.053014376 4180.332078867 0.280118900 
0.000798032 0.053014376 4178.291562905 0.279968176 
0.000803243 0.053014376 4174.819508489 0.279711561 
0.000808453 0.053014376 4169.869111466 0.279345680 
0.000813660 0.053014376 4163.396316896 0.278867403 
0.000818865 0.053014376 4155.360955975 0.278273936 
0.000824069 0.053014376 4145.727858871 0.277562897 
0.000829270 0.053014376 4134.467921318 0.276732406 
0.000834471 0.053014376 4121.559103385 0.275781149 
0.000839670 0.053014376 4106.987340028 0.274708452 
0.000844868 0.053014376 4090.747344323 0.273514331 
0.000850065 0.053014376 4072.843286259 0.272199540 
0.000855261 0.053014376 4053.289331950 0.270765601 
0.000860456 0.053014376 4032.110030523 0.269214832 
0.000865651 0.053014376 4009.340538526 0.267550344 
0.000870845 0.053014376 3985.026674610 0.265776042 
0.000876039 0.053014376 3959.224800318 0.263896600 
0.000881233 0.053014376 3932.001526225 0.261917429 
0.000886426 0.053014376 3903.433246258 0.259844632 
0.000891619 0.053014376 3873.605506757 0.257684941 
