Sim: 3
Label: rocket
Time: 0.005000000000000174
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 17
vel_x Ma p T rho u massf_H2 massf_O2 massf_OH massf_H2O massf_H massf_O dx dV A_c A_s pos_x
366.972454942 0.227339060 21608774.735919002 3570.982470101 9.886386492 -3261369.763374611 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.001250000 
367.666930686 0.227771358 21599457.004652459 3570.915611220 9.882308494 -3261582.749669249 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.003750000 
367.812302292 0.227861843 21597511.246474650 3570.901846397 9.881456349 -3261626.598935998 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.006250000 
367.842516008 0.227880642 21597112.652118277 3570.899231511 9.881281217 -3261634.928922945 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.008750000 
367.848559554 0.227884395 21597038.809574567 3570.898956969 9.881248192 -3261635.803503324 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.011250000 
367.849524440 0.227884986 21597033.176998932 3570.899173508 9.881245016 -3261635.113695981 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.013750000 
367.849417245 0.227884909 21597041.912967261 3570.899492884 9.881248129 -3261634.096291935 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.016250000 
367.849078921 0.227884689 21597053.715456177 3570.899833485 9.881252586 -3261633.011271365 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.018750000 
367.848686077 0.227884435 21597066.209918126 3570.900178057 9.881257349 -3261631.913602531 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.021250000 
367.848275904 0.227884170 21597078.895360198 3570.900522854 9.881262199 -3261630.815216463 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.023750000 
367.847856329 0.227883900 21597091.663980603 3570.900866970 9.881267089 -3261629.718999152 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.026250000 
367.847429142 0.227883624 21597104.490494013 3570.901210100 9.881272008 -3261628.625924622 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.028750000 
367.846994844 0.227883345 21597117.366932485 3570.901552068 9.881276953 -3261627.536551090 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.031250000 
