Sim: 3
ID: 1
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 4
time A mass_flux Ma
0.000009900 0.053014376 2355.199525634 0.152745994 
0.000019900 0.053014376 2374.499690164 0.154219763 
0.000029900 0.053014376 2375.142409953 0.154314302 
0.000039900 0.053014376 2374.968466146 0.154318092 
0.000049900 0.053014376 2374.797813401 0.154311327 
0.000059900 0.053014376 2374.664370059 0.154303800 
0.000069900 0.053014376 2374.559409427 0.154297197 
0.000079900 0.053014376 2374.474811474 0.154291660 
0.000089900 0.053014376 2374.404967075 0.154287021 
0.000099900 0.053014376 2374.345674397 0.154283062 
0.000109900 0.053014376 2374.285536493 0.154279040 
0.000119900 0.053014376 2374.126053202 0.154268379 
0.000129900 0.053014376 2373.247023859 0.154209629 
0.000139900 0.053014376 2369.156658860 0.153936197 
0.000149900 0.053014376 2355.201707275 0.153003361 
0.000159900 0.053014376 2319.211848670 0.150599097 
0.000169900 0.053014376 2246.071372998 0.145721435 
0.000179900 0.053014376 2124.776234084 0.137658115 
0.000189900 0.053014376 1956.026611208 0.126491821 
0.000199900 0.053014376 1754.515939533 0.113230799 
0.000209900 0.053014376 1543.621468035 0.099429151 
0.000219900 0.053014376 1346.489854710 0.086591333 
0.000229900 0.053014376 1179.727445659 0.075773358 
0.000239900 0.053014376 1051.990002705 0.067510183 
0.000249900 0.053014376 965.462962008 0.061923162 
0.000259900 0.053014376 917.666117431 0.058840094 
0.000269900 0.053014376 902.553299770 0.057865407 
0.000279900 0.053014376 911.130632208 0.058417832 
0.000289900 0.053014376 932.302377373 0.059782510 
0.000299900 0.053014376 954.536064444 0.061216370 
0.000309900 0.053014376 968.287685073 0.062103700 
0.000319900 0.053014376 968.286250604 0.062103968 
0.000329900 0.053014376 954.462402066 0.061212555 
0.000339900 0.053014376 930.977585551 0.059698251 
0.000349900 0.053014376 904.004311210 0.057959509 
0.000359900 0.053014376 879.558437055 0.056384184 
0.000369900 0.053014376 862.309482779 0.055272880 
0.000379900 0.053014376 855.456868199 0.054831310 
0.000389900 0.053014376 861.221373129 0.055202307 
0.000399900 0.053014376 881.441852076 0.056504527 
0.000409900 0.053014376 917.937185325 0.058856021 
0.000419900 0.053014376 972.486884175 0.062373332 
0.000429900 0.053014376 1046.467957748 0.067148501 
0.000439900 0.053014376 1140.351108734 0.073216931 
0.000449900 0.053014376 1253.330159692 0.080533536 
0.000459900 0.053014376 1383.275250597 0.088969287 
0.000469900 0.053014376 1527.018789438 0.098328790 
0.000479900 0.053014376 1680.833247864 0.108379996 
0.000489900 0.053014376 1840.921003903 0.118884779 
0.000499900 0.053014376 2003.789228787 0.129622405 
0.000509900 0.053014376 2166.463438219 0.140403009 
0.000519900 0.053014376 2326.555435942 0.151072022 
0.000529900 0.053014376 2482.231237031 0.161508377 
0.000539900 0.053014376 2632.127997254 0.171619508 
0.000549900 0.053014376 2775.257783683 0.181335522 
0.000559900 0.053014376 2910.920776404 0.190603951 
0.000569900 0.053014376 3038.637659252 0.199385727 
0.000579900 0.053014376 3158.102733195 0.207652496 
0.000589900 0.053014376 3269.155040820 0.215385096 
0.000599900 0.053014376 3371.762925072 0.222572932 
0.000609900 0.053014376 3466.016670618 0.229213870 
0.000619900 0.053014376 3552.123676157 0.235314268 
0.000629900 0.053014376 3630.401066975 0.240888778 
0.000639900 0.053014376 3701.262007112 0.245959632 
0.000649900 0.053014376 3765.194155765 0.250555278 
0.000659900 0.053014376 3822.731239079 0.254708431 
0.000669900 0.053014376 3874.420809432 0.258453755 
0.000679900 0.053014376 3920.792268746 0.261825493 
0.000689900 0.053014376 3962.328900528 0.264855321 
0.000699900 0.053014376 3999.446281766 0.267570651 
0.000709900 0.053014376 4032.477687813 0.269993422 
0.000719900 0.053014376 4061.665655583 0.272139353 
0.000729900 0.053014376 4087.158175420 0.274017551 
0.000739900 0.053014376 4109.008105814 0.275630375 
0.000749900 0.053014376 4127.175095191 0.276973514 
0.000759900 0.053014376 4141.530146247 0.278036286 
0.000769900 0.053014376 4151.863592594 0.278802215 
