Sim: 2
ID: 1
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 4
time A mass_flux Ma
0.000009900 0.053014376 2269.620458879 0.146760560 
0.000019900 0.053014376 2355.331169959 0.152755176 
0.000029900 0.053014376 2371.361730027 0.153947775 
0.000039900 0.053014376 2374.559492328 0.154223666 
0.000049900 0.053014376 2375.156799852 0.154296964 
0.000059900 0.053014376 2375.191805488 0.154317504 
0.000069900 0.053014376 2375.108405552 0.154321910 
0.000079900 0.053014376 2375.006587690 0.154320590 
0.000089900 0.053014376 2374.891263441 0.154315900 
0.000099900 0.053014376 2374.653443498 0.154301676 
0.000109900 0.053014376 2373.823989916 0.154247197 
0.000119900 0.053014376 2371.022684997 0.154060583 
0.000129900 0.053014376 2363.221721396 0.153539704 
0.000139900 0.053014376 2345.296337294 0.152342476 
0.000149900 0.053014376 2310.455413347 0.150016748 
0.000159900 0.053014376 2251.774143371 0.146104941 
0.000169900 0.053014376 2164.410683207 0.140294419 
0.000179900 0.053014376 2047.637909153 0.132552696 
0.000189900 0.053014376 1905.820418570 0.123187314 
0.000199900 0.053014376 1747.884899932 0.112802084 
0.000209900 0.053014376 1585.466611457 0.102167334 
0.000219900 0.053014376 1430.454275701 0.092056659 
0.000229900 0.053014376 1292.795967254 0.083107134 
0.000239900 0.053014376 1179.121608127 0.075735829 
0.000249900 0.053014376 1092.271093522 0.070114577 
0.000259900 0.053014376 1031.528210432 0.066188165 
0.000269900 0.053014376 993.323838963 0.063720597 
0.000279900 0.053014376 972.233728530 0.062358977 
0.000289900 0.053014376 962.119085757 0.061706076 
0.000299900 0.053014376 957.236905278 0.061391032 
0.000309900 0.053014376 953.140512371 0.061126880 
0.000319900 0.053014376 947.234595894 0.060746133 
0.000329900 0.053014376 938.935702717 0.060211105 
0.000339900 0.053014376 929.485981475 0.059601860 
0.000349900 0.053014376 921.534901686 0.059089172 
0.000359900 0.053014376 918.614752272 0.058900674 
0.000369900 0.053014376 924.599005127 0.059286016 
0.000379900 0.053014376 943.186593099 0.060483865 
0.000389900 0.053014376 977.437095446 0.062692305 
0.000399900 0.053014376 1029.396142215 0.066045082 
0.000409900 0.053014376 1099.867585060 0.070597189 
0.000419900 0.053014376 1188.376557503 0.076322554 
0.000429900 0.053014376 1293.321779597 0.083123635 
0.000439900 0.053014376 1412.263694888 0.090849535 
0.000449900 0.053014376 1542.268408830 0.099317540 
0.000459900 0.053014376 1680.234791016 0.108333534 
0.000469900 0.053014376 1823.159415780 0.117708494 
0.000479900 0.053014376 1968.322098619 0.127270045 
0.000489900 0.053014376 2113.393699432 0.136869235 
0.000499900 0.053014376 2256.477614968 0.146383263 
0.000509900 0.053014376 2396.100574711 0.155715098 
0.000519900 0.053014376 2531.169548948 0.164790998 
0.000529900 0.053014376 2660.910662648 0.173556893 
0.000539900 0.053014376 2784.803356594 0.181974419 
0.000549900 0.053014376 2902.519274676 0.190017207 
0.000559900 0.053014376 3013.871351953 0.197667782 
0.000569900 0.053014376 3118.775086871 0.204915206 
0.000579900 0.053014376 3217.221426363 0.211753454 
0.000589900 0.053014376 3309.259155863 0.218180386 
0.000599900 0.053014376 3394.984026118 0.224197160 
0.000609900 0.053014376 3474.531832383 0.229807884 
0.000619900 0.053014376 3548.073055108 0.235019351 
0.000629900 0.053014376 3615.807280782 0.239840748 
0.000639900 0.053014376 3677.956303237 0.244283227 
0.000649900 0.053014376 3734.755458879 0.248359338 
0.000659900 0.053014376 3786.443308846 0.252082312 
0.000669900 0.053014376 3833.250208633 0.255465231 
0.000679900 0.053014376 3875.386584872 0.258520162 
0.000689900 0.053014376 3913.031870400 0.261257322 
0.000699900 0.053014376 3946.325046598 0.263684342 
0.000709900 0.053014376 3975.357629632 0.265805709 
0.000719900 0.053014376 4000.169743585 0.267622442 
0.000729900 0.053014376 4020.749679504 0.269132024 
0.000739900 0.053014376 4037.037075117 0.270328619 
0.000749900 0.053014376 4048.929591903 0.271203563 
0.000759900 0.053014376 4056.292735367 0.271746100 
0.000769900 0.053014376 4058.972275008 0.271944327 
0.000779900 0.053014376 4056.808579409 0.271786292 
0.000789900 0.053014376 4049.652089148 0.271261171 
0.000799900 0.053014376 4037.379101150 0.270360472 
0.000809900 0.053014376 4019.907025755 0.269079171 
0.000819900 0.053014376 3997.208296249 0.267416730 
0.000829900 0.053014376 3969.322157527 0.265377925 
0.000839900 0.053014376 3936.363637878 0.262973424 
0.000849900 0.053014376 3898.529121133 0.260220080 
0.000859900 0.053014376 3856.098092177 0.257140918 
0.000869900 0.053014376 3809.430830143 0.253764792 
0.000879900 0.053014376 3758.962066810 0.250125759 
0.000889900 0.053014376 3705.190898817 0.246262173 
0.000899900 0.053014376 3648.667517320 0.242215584 
0.000909900 0.053014376 3589.977566174 0.238029505 
0.000919900 0.053014376 3529.725126513 0.233748115 
0.000929900 0.053014376 3468.515423652 0.229415007 
0.000939900 0.053014376 3406.938345627 0.225072030 
0.000949900 0.053014376 3345.553751093 0.220758305 
0.000959900 0.053014376 3284.879343627 0.216509454 
0.000969900 0.053014376 3225.381628591 0.212357066 
0.000979900 0.053014376 3167.470182721 0.208328405 
0.000989900 0.053014376 3111.495190890 0.204446346 
0.000999900 0.053014376 3057.747967964 0.200729514 
0.001009900 0.053014376 3006.464005628 0.197192582 
0.001019900 0.053014376 2957.827972631 0.193846690 
0.001029900 0.053014376 2911.980050257 0.190699939 
0.001039900 0.053014376 2869.022993879 0.187757919 
0.001049900 0.053014376 2829.029362982 0.185024236 
0.001059900 0.053014376 2792.048441896 0.182501003 
0.001069900 0.053014376 2758.112469034 0.180189277 
0.001079900 0.053014376 2727.241893444 0.178089420 
0.001089900 0.053014376 2699.449476709 0.176201382 
0.001099900 0.053014376 2674.743151108 0.174524889 
0.001109900 0.053014376 2653.127628844 0.173059551 
0.001119900 0.053014376 2634.604830974 0.171804890 
0.001129900 0.053014376 2619.173268026 0.170760290 
0.001139900 0.053014376 2606.826556513 0.169924897 
0.001149900 0.053014376 2597.551295675 0.169297473 
0.001159900 0.053014376 2591.324554864 0.168876221 
0.001169900 0.053014376 2588.111232026 0.168658609 
0.001179900 0.053014376 2587.861536277 0.168641190 
0.001189900 0.053014376 2590.508822548 0.168819458 
0.001199900 0.053014376 2595.967965513 0.169187731 
0.001209900 0.053014376 2604.134407393 0.169739074 
0.001219900 0.053014376 2614.883954922 0.170465285 
0.001229900 0.053014376 2628.073340657 0.171356915 
0.001239900 0.053014376 2643.541508379 0.172403347 
0.001249900 0.053014376 2661.111536030 0.173592910 
0.001259900 0.053014376 2680.593075450 0.174913035 
0.001269900 0.053014376 2701.785167143 0.176350425 
0.001279900 0.053014376 2724.479280332 0.177891256 
0.001289900 0.053014376 2748.462431926 0.179521370 
0.001299900 0.053014376 2773.520250560 0.181226475 
0.001309900 0.053014376 2799.439870922 0.182992335 
0.001319900 0.053014376 2826.012566536 0.184804939 
0.001329900 0.053014376 2853.036053678 0.186650654 
0.001339900 0.053014376 2880.316423337 0.188516358 
0.001349900 0.053014376 2907.669680604 0.190389541 
0.001359900 0.053014376 2934.922890666 0.192258387 
0.001369900 0.053014376 2961.914947222 0.194111829 
0.001379900 0.053014376 2988.496992354 0.195939582 
0.001389900 0.053014376 3014.532526772 0.197732159 
0.001399900 0.053014376 3039.897256135 0.199480863 
0.001409900 0.053014376 3064.478723067 0.201177772 
0.001419900 0.053014376 3088.175775984 0.202815708 
0.001429900 0.053014376 3110.897925150 0.204388198 
0.001439900 0.053014376 3132.564633961 0.205889436 
0.001449900 0.053014376 3153.104589506 0.207314236 
0.001459900 0.053014376 3172.454991366 0.208657990 
0.001469900 0.053014376 3190.560891595 0.209916629 
0.001479900 0.053014376 3207.374612151 0.211086589 
0.001489900 0.053014376 3222.855259023 0.212164778 
0.001499900 0.053014376 3236.968345100 0.213148560 
0.001509900 0.053014376 3249.685526741 0.214035737 
0.001519900 0.053014376 3260.984452303 0.214824544 
0.001529900 0.053014376 3270.848714699 0.215513648 
0.001539900 0.053014376 3279.267894673 0.216102154 
0.001549900 0.053014376 3286.237677041 0.216589615 
0.001559900 0.053014376 3291.760018738 0.216976048 
0.001569900 0.053014376 3295.843345275 0.217261946 
0.001579900 0.053014376 3298.502751180 0.217448292 
0.001589900 0.053014376 3299.760180129 0.217536574 
0.001599900 0.053014376 3299.644561730 0.217528795 
0.001609900 0.053014376 3298.191884257 0.217427471 
0.001619900 0.053014376 3295.445185836 0.217235634 
0.001629900 0.053014376 3291.454450520 0.216956819 
0.001639900 0.053014376 3286.276400211 0.216595051 
0.001649900 0.053014376 3279.974178158 0.216154812 
0.001659900 0.053014376 3272.616924665 0.215641015 
0.001669900 0.053014376 3264.279250415 0.215058959 
0.001679900 0.053014376 3255.040617131 0.214414283 
0.001689900 0.053014376 3244.984639130 0.213712915 
0.001699900 0.053014376 3234.198322327 0.212961013 
0.001709900 0.053014376 3222.771259362 0.212164906 
0.001719900 0.053014376 3210.794800736 0.211331036 
0.001729900 0.053014376 3198.361221944 0.210465894 
0.001739900 0.053014376 3185.562905845 0.209575965 
0.001749900 0.053014376 3172.491557841 0.208667669 
0.001759900 0.053014376 3159.237469037 0.207747310 
0.001769900 0.053014376 3145.888839660 0.206821032 
0.001779900 0.053014376 3132.531171719 0.205894771 
0.001789900 0.053014376 3119.246736515 0.204974224 
0.001799900 0.053014376 3106.114119280 0.204064818 
0.001809900 0.053014376 3093.207840164 0.203171683 
0.001819900 0.053014376 3080.598048162 0.202299633 
0.001829900 0.053014376 3068.350282431 0.201453153 
0.001839900 0.053014376 3056.525293931 0.200636388 
0.001849900 0.053014376 3045.178919424 0.199853136 
0.001859900 0.053014376 3034.361999536 0.199106842 
0.001869900 0.053014376 3024.120332845 0.198400604 
0.001879900 0.053014376 3014.494658618 0.197737163 
0.001889900 0.053014376 3005.520661915 0.197118914 
0.001899900 0.053014376 2997.228996012 0.196547907 
0.001909900 0.053014376 2989.645318563 0.196025847 
0.001919900 0.053014376 2982.790339298 0.195554104 
0.001929900 0.053014376 2976.679878421 0.195133714 
0.001939900 0.053014376 2971.324936008 0.194765386 
0.001949900 0.053014376 2966.731773645 0.194449511 
0.001959900 0.053014376 2962.902010198 0.194186163 
0.001969900 0.053014376 2959.832733940 0.193975115 
0.001979900 0.053014376 2957.516633360 0.193815840 
0.001989900 0.053014376 2955.942148740 0.193707527 
0.001999900 0.053014376 2955.093646181 0.193649092 
0.002009900 0.053014376 2954.951615114 0.193639188 
0.002019900 0.053014376 2955.492889603 0.193676225 
0.002029900 0.053014376 2956.690892932 0.193758380 
0.002039900 0.053014376 2958.515904113 0.193883621 
0.002049900 0.053014376 2960.935344208 0.194049721 
0.002059900 0.053014376 2963.914079611 0.194254281 
0.002069900 0.053014376 2967.414738894 0.194494751 
0.002079900 0.053014376 2971.398039365 0.194768449 
0.002089900 0.053014376 2975.823119234 0.195072586 
0.002099900 0.053014376 2980.647871164 0.195404286 
0.002109900 0.053014376 2985.829273065 0.195760610 
0.002119900 0.053014376 2991.323712169 0.196138577 
0.002129900 0.053014376 2997.087298783 0.196535183 
0.002139900 0.053014376 3003.076166540 0.196947425 
0.002149900 0.053014376 3009.246756455 0.197372317 
0.002159900 0.053014376 3015.556082700 0.197806909 
0.002169900 0.053014376 3021.961978521 0.198248305 
0.002179900 0.053014376 3028.423321323 0.198693676 
0.002189900 0.053014376 3034.900236464 0.199140277 
0.002199900 0.053014376 3041.354279775 0.199585457 
0.002209900 0.053014376 3047.748599244 0.200026670 
0.002219900 0.053014376 3054.048076632 0.200461489 
0.002229900 0.053014376 3060.219450054 0.200887611 
0.002239900 0.053014376 3066.231418732 0.201302865 
0.002249900 0.053014376 3072.054731219 0.201705219 
0.002259900 0.053014376 3077.662258428 0.202092786 
0.002269900 0.053014376 3083.029052753 0.202463828 
0.002279900 0.053014376 3088.132394478 0.202816760 
0.002289900 0.053014376 3092.951826546 0.203150153 
0.002299900 0.053014376 3097.469178582 0.203462733 
0.002309900 0.053014376 3101.668580904 0.203753386 
0.002319900 0.053014376 3105.536469067 0.204021161 
0.002329900 0.053014376 3109.061579314 0.204265261 
0.002339900 0.053014376 3112.234935149 0.204485051 
0.002349900 0.053014376 3115.049825125 0.204680056 
0.002359900 0.053014376 3117.501771834 0.204849951 
0.002369900 0.053014376 3119.588492016 0.204994570 
0.002379900 0.053014376 3121.309847691 0.205113893 
0.002389900 0.053014376 3122.667788205 0.205208049 
0.002399900 0.053014376 3123.666283139 0.205277306 
0.002409900 0.053014376 3124.311246106 0.205322070 
0.002419900 0.053014376 3124.610449521 0.205342877 
0.002429900 0.053014376 3124.573430613 0.205340385 
0.002439900 0.053014376 3124.211389012 0.205315371 
0.002449900 0.053014376 3123.537076420 0.205268718 
0.002459900 0.053014376 3122.564679011 0.205201413 
0.002469900 0.053014376 3121.309693311 0.205114530 
0.002479900 0.053014376 3119.788796458 0.205009230 
0.002489900 0.053014376 3118.019711813 0.204886743 
0.002499900 0.053014376 3116.021070999 0.204748366 
0.002509900 0.053014376 3113.812273476 0.204595445 
0.002519900 0.053014376 3111.413344806 0.204429373 
0.002529900 0.053014376 3108.844794767 0.204251575 
0.002539900 0.053014376 3106.127476443 0.204063498 
0.002549900 0.053014376 3103.282447383 0.203866605 
0.002559900 0.053014376 3100.330833865 0.203662361 
0.002569900 0.053014376 3097.293699206 0.203452227 
0.002579900 0.053014376 3094.191916995 0.203237650 
0.002589900 0.053014376 3091.046049990 0.203020054 
0.002599900 0.053014376 3087.876235352 0.202800834 
0.002609900 0.053014376 3084.702076759 0.202581345 
0.002619900 0.053014376 3081.542543850 0.202362900 
0.002629900 0.053014376 3078.415879358 0.202146759 
0.002639900 0.053014376 3075.339514176 0.201934126 
0.002649900 0.053014376 3072.329990549 0.201726141 
0.002659900 0.053014376 3069.402893499 0.201523881 
0.002669900 0.053014376 3066.572790513 0.201328348 
0.002679900 0.053014376 3063.853179500 0.201140473 
0.002689900 0.053014376 3061.256444964 0.200961107 
0.002699900 0.053014376 3058.793822286 0.200791024 
0.002709900 0.053014376 3056.475370014 0.200630913 
0.002719900 0.053014376 3054.309950008 0.200481385 
0.002729900 0.053014376 3052.305215255 0.200342963 
0.002739900 0.053014376 3050.467605181 0.200216088 
0.002749900 0.053014376 3048.802348238 0.200101120 
0.002759900 0.053014376 3047.313471517 0.199998332 
0.002769900 0.053014376 3046.003817148 0.199907919 
