Sim: 2
Label: rocket
Time: 0.009999999999994874
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 17
vel_x Ma p T rho u massf_H2 massf_O2 massf_OH massf_H2O massf_H massf_O dx dV A_c A_s pos_x
363.314404622 0.225062144 21623245.823004305 3571.333870491 9.892033843 -3260250.327312552 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.002500000 
364.016434852 0.225499092 21613877.320042595 3571.266645304 9.887934140 -3260464.484241302 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.007500000 
364.162054059 0.225589728 21611932.821401287 3571.252684854 9.887083219 -3260508.957470097 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.012500000 
364.192274183 0.225608537 21611529.231322777 3571.249787028 9.886906606 -3260518.188951435 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.017500000 
364.198546289 0.225612441 21611445.466540057 3571.249185626 9.886869950 -3260520.104813625 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.022500000 
364.199848000 0.225613251 21611428.083460853 3571.249060873 9.886862343 -3260520.502234131 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.027500000 
364.200118077 0.225613420 21611424.478332456 3571.249035051 9.886860765 -3260520.584492629 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.032500000 
364.200174030 0.225613454 21611423.732928175 3571.249029763 9.886860438 -3260520.601339024 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.037500000 
364.200185536 0.225613462 21611423.581101794 3571.249028736 9.886860372 -3260520.604610693 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.042500000 
364.200187813 0.225613463 21611423.552497987 3571.249028593 9.886860359 -3260520.605066965 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.047500000 
364.200188170 0.225613463 21611423.549488593 3571.249028633 9.886860358 -3260520.604941136 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.052500000 
364.200188126 0.225613463 21611423.551807180 3571.249028709 9.886860358 -3260520.604696806 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.057500000 
364.200187996 0.225613463 21611423.555244233 3571.249028793 9.886860360 -3260520.604430225 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.062500000 
364.200187844 0.225613463 21611423.558922864 3571.249028878 9.886860361 -3260520.604161359 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.067500000 
364.200187685 0.225613463 21611423.562658042 3571.249028962 9.886860363 -3260520.603894254 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.072500000 
364.200187522 0.225613463 21611423.566408221 3571.249029045 9.886860364 -3260520.603629655 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.077500000 
364.200187355 0.225613463 21611423.570161734 3571.249029127 9.886860366 -3260520.603367548 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.082500000 
364.200187185 0.225613463 21611423.573913101 3571.249029209 9.886860367 -3260520.603107718 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.087500000 
364.200187012 0.225613462 21611423.577658132 3571.249029290 9.886860369 -3260520.602849893 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.092500000 
364.200186836 0.225613462 21611423.581392981 3571.249029370 9.886860370 -3260520.602593742 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.097500000 
364.200186657 0.225613462 21611423.585113820 3571.249029450 9.886860372 -3260520.602338903 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.102500000 
364.200186476 0.225613462 21611423.588816967 3571.249029530 9.886860373 -3260520.602084969 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.107500000 
364.200186293 0.225613462 21611423.592498682 3571.249029609 9.886860375 -3260520.601831533 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.112500000 
364.200186107 0.225613462 21611423.596155316 3571.249029689 9.886860376 -3260520.601578153 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.117500000 
364.200185920 0.225613462 21611423.599783253 3571.249029769 9.886860377 -3260520.601324395 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.122500000 
364.200185731 0.225613462 21611423.603378944 3571.249029849 9.886860379 -3260520.601069814 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.127500000 
364.200185540 0.225613461 21611423.606938839 3571.249029929 9.886860380 -3260520.600813991 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.132500000 
364.200185348 0.225613461 21611423.610459507 3571.249030010 9.886860382 -3260520.600556512 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.137500000 
364.200185155 0.225613461 21611423.613937523 3571.249030091 9.886860383 -3260520.600296993 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.142500000 
364.200184960 0.225613461 21611423.617369559 3571.249030173 9.886860384 -3260520.600035095 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.147500000 
364.200184765 0.225613461 21611423.620752312 3571.249030256 9.886860386 -3260520.599770519 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.152500000 
364.200184569 0.225613461 21611423.624082565 3571.249030340 9.886860387 -3260520.599503018 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.157500000 
364.200184372 0.225613461 21611423.627357155 3571.249030425 9.886860388 -3260520.599232410 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.162500000 
364.200184175 0.225613461 21611423.630572971 3571.249030511 9.886860389 -3260520.598958583 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.167500000 
364.200183978 0.225613460 21611423.633727025 3571.249030598 9.886860391 -3260520.598681508 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.172500000 
364.200183781 0.225613460 21611423.636816353 3571.249030686 9.886860392 -3260520.598401220 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.177500000 
364.200183583 0.225613460 21611423.639838047 3571.249030775 9.886860393 -3260520.598117868 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.182500000 
364.200183386 0.225613460 21611423.642789349 3571.249030865 9.886860394 -3260520.597831672 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.187500000 
364.200183190 0.225613460 21611423.645667545 3571.249030956 9.886860395 -3260520.597542964 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.192500000 
364.200182993 0.225613460 21611423.648469947 3571.249031047 9.886860396 -3260520.597252169 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.197500000 
364.200182797 0.225613460 21611423.651194002 3571.249031139 9.886860397 -3260520.596959813 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.202500000 
364.200182602 0.225613460 21611423.653837267 3571.249031231 9.886860398 -3260520.596666521 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.207500000 
364.200182408 0.225613459 21611423.656397320 3571.249031323 9.886860399 -3260520.596373028 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.212500000 
364.200182215 0.225613459 21611423.658871844 3571.249031415 9.886860400 -3260520.596080157 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.217500000 
364.200182023 0.225613459 21611423.661258627 3571.249031506 9.886860401 -3260520.595788830 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.222500000 
364.200181832 0.225613459 21611423.663556043 3571.249031597 9.886860402 -3260520.595500066 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.227500000 
364.200181650 0.225613459 21611423.665861525 3571.249031686 9.886860402 -3260520.595217215 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.232500000 
364.200182948 0.225613460 21611423.688002389 3571.249031631 9.886860413 -3260520.595390946 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.237500000 
364.200478976 0.225613644 21611427.682126615 3571.249003310 9.886862318 -3260520.685611113 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.242500000 
364.259424594 0.225650333 21612222.192896917 3571.243350065 9.887241445 -3260538.694909305 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.247500000 
373.642508064 0.231491642 21741053.964582153 3570.331762922 9.948719379 -3263442.632453294 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000770446 0.154023687 0.012063598 0.252500000 
396.067935039 0.245461310 21708391.383694347 3568.059017287 9.940100476 -3270682.083503200 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000722968 0.144530723 0.011356530 0.257500000 
422.282340101 0.261808271 21634865.862629507 3565.234084961 9.914283138 -3279679.294871358 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000678966 0.135733010 0.010691209 0.262500000 
450.546349920 0.279455228 21542811.546133086 3561.985108433 9.881103387 -3290025.495807674 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000638253 0.127592880 0.010066230 0.267500000 
480.536876012 0.298206707 21435409.939864501 3558.307045367 9.842003918 -3301736.082046279 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000600649 0.120074376 0.009480224 0.272500000 
512.209786153 0.318041836 21311664.314422410 3554.164721810 9.796590969 -3314922.255942326 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000565982 0.113143255 0.008931859 0.277500000 
545.577947812 0.338976329 21169423.642990828 3549.513913346 9.743955947 -3329723.826945262 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000534090 0.106766984 0.008419850 0.282500000 
580.666269017 0.361034631 21006035.048448842 3544.305772081 9.682958362 -3346295.061687008 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000504818 0.100914744 0.007942959 0.287500000 
617.503668405 0.384245075 20818505.592906218 3538.487475748 9.612294081 -3364802.558442774 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000478022 0.095557428 0.007500002 0.292500000 
656.123725144 0.408640506 20603570.005765200 3532.001778984 9.530522797 -3385426.604739556 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000453564 0.090667639 0.007089856 0.297500000 
696.567914800 0.434260576 20357755.680027444 3524.786013469 9.436094944 -3408364.271520788 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000431316 0.086219696 0.006711462 0.302500000 
738.889996999 0.461154860 20077468.773354042 3516.770604431 9.327388777 -3433834.021526480 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000411158 0.082189627 0.006363835 0.307500000 
783.161152793 0.489386564 19759108.542179812 3507.877053515 9.202761014 -3462081.980520802 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000392979 0.078555173 0.006046064 0.312500000 
829.475697740 0.519036780 19399211.896499794 3498.015305530 9.060612185 -3493390.119187857 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000376675 0.075295789 0.005757321 0.317500000 
877.957209976 0.550209228 18994628.198451512 3487.080411088 8.899466968 -3528086.605197154 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000362154 0.072392639 0.005496865 0.322500000 
928.764793573 0.583035405 18542724.097353484 3474.948420421 8.718069649 -3566558.503115249 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000349328 0.069828602 0.005264043 0.327500000 
982.098853516 0.617679815 18041620.109932162 3461.471536931 8.515495616 -3609266.693920306 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000338122 0.067588268 0.005058291 0.332500000 
1038.204919795 0.654344463 17490465.946373437 3446.472832835 8.291281883 -3656762.006512491 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000328466 0.065657940 0.004879134 0.337500000 
1097.372097986 0.693270430 16889772.269147407 3429.741557491 8.045583727 -3709699.239349788 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000320301 0.064025631 0.004726182 0.342500000 
1159.918166311 0.734731261 16241836.115171824 3411.031935487 7.779371278 -3768839.857681290 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000313575 0.062681069 0.004599128 0.347500000 
1226.142498872 0.779005152 15551334.685197880 3390.073132458 7.494691510 -3835019.129864319 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000308246 0.061615692 0.004497732 0.352500000 
1296.200350272 0.826292912 14826263.654285587 3366.610859775 7.195052372 -3909013.412918466 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000304279 0.060822653 0.004421821 0.357500000 
1369.764927916 0.876485097 14079903.573475707 3340.541424173 6.886173798 -3991117.260608834 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000301648 0.060296813 0.004371276 0.362500000 
1444.814796339 0.928302453 13338222.617458649 3312.427185862 6.578801486 -4079526.149261086 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000300337 0.060034750 0.004346021 0.367500000 
1611.199488566 1.045632358 11745970.809269125 3244.594761422 5.914575979 -4292244.597193632 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000300243 0.060025350 0.004344369 0.372500000 
1667.207326225 1.085965896 11213274.133838672 3220.043547849 5.689391964 -4369025.644582585 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000301176 0.060211894 0.004359096 0.377500000 
