Sim: 4
Label: rocket
Time: 0.004000048461748602
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 17
vel_x Ma p T rho u massf_H2 massf_O2 massf_OH massf_H2O massf_H massf_O dx dV A_c A_s pos_x
367.220447896 0.227493485 21607749.112457722 3570.956812692 9.885988282 -3261451.497946737 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.001250000 
367.915806806 0.227926390 21598376.120350733 3570.888136034 9.881889994 -3261670.274682912 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.003750000 
368.062787234 0.228017930 21596368.138669722 3570.872519253 9.881014497 -3261720.023481640 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.006250000 
368.094620031 0.228037789 21595907.566992074 3570.868061804 9.880816105 -3261734.223117311 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.008750000 
368.102210702 0.228042557 21595772.600122254 3570.865957478 9.880760176 -3261740.926652576 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.011250000 
368.104647416 0.228044116 21595706.638569988 3570.864356894 9.880734425 -3261746.025465611 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.013750000 
368.105938807 0.228044962 21595655.793576993 3570.862872002 9.880715271 -3261750.755734632 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.016250000 
368.106926714 0.228045619 21595608.748895671 3570.861421674 9.880697760 -3261755.375891865 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.018750000 
368.107787922 0.228046197 21595563.128977451 3570.859989265 9.880680851 -3261759.939057796 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.021250000 
368.108559557 0.228046719 21595518.435759414 3570.858571688 9.880664324 -3261764.454794497 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.023750000 
368.109249433 0.228047190 21595474.565290160 3570.857168724 9.880648134 -3261768.924069381 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.026250000 
368.109859218 0.228047611 21595431.496203851 3570.855780775 9.880632269 -3261773.345512951 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.028750000 
368.110389306 0.228047982 21595389.224297926 3570.854408391 9.880616726 -3261777.717372905 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.031250000 
368.110839835 0.228048303 21595347.748795010 3570.853052170 9.880601502 -3261782.037742959 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.033750000 
368.111210905 0.228048574 21595307.069459364 3570.851712737 9.880586596 -3261786.304632433 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.036250000 
368.111502621 0.228048796 21595267.185992729 3570.850390739 9.880572006 -3261790.515983939 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.038750000 
368.111715102 0.228048968 21595228.097908888 3570.849086839 9.880557730 -3261794.669680303 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.041250000 
368.111848483 0.228049090 21595189.804508902 3570.847801719 9.880543765 -3261798.763549527 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.043750000 
368.111902917 0.228049163 21595152.304877449 3570.846536077 9.880530110 -3261802.795369522 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.046250000 
368.111878573 0.228049187 21595115.597883660 3570.845290625 9.880516761 -3261806.762873083 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.048750000 
368.111775637 0.228049161 21595079.682182875 3570.844066087 9.880503717 -3261810.663753074 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.051250000 
368.111594313 0.228049086 21595044.556218777 3570.842863198 9.880490974 -3261814.495667916 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.053750000 
368.111334818 0.228048962 21595010.218225371 3570.841682702 9.880478529 -3261818.256247334 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.056250000 
368.110997387 0.228048789 21594976.666229356 3570.840525350 9.880466381 -3261821.943098363 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.058750000 
368.110582273 0.228048567 21594943.898052201 3570.839391899 9.880454524 -3261825.553811602 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.061250000 
368.110089742 0.228048296 21594911.911312480 3570.838283108 9.880442957 -3261829.085967678 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.063750000 
368.109520078 0.228047977 21594880.703428157 3570.837199738 9.880431676 -3261832.537143980 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.066250000 
368.108873580 0.228047609 21594850.271618977 3570.836142547 9.880420678 -3261835.904921551 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.068750000 
368.108150561 0.228047193 21594820.612908803 3570.835112293 9.880409958 -3261839.186892219 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.071250000 
368.107351352 0.228046729 21594791.724128060 3570.834109724 9.880399515 -3261842.380665857 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.073750000 
368.106476299 0.228046217 21594763.601916235 3570.833135584 9.880389343 -3261845.483877853 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.076250000 
368.105525760 0.228045658 21594736.242724299 3570.832190605 9.880379440 -3261848.494196692 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.078750000 
368.104500112 0.228045051 21594709.642817333 3570.831275504 9.880369802 -3261851.409331652 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.081250000 
368.103399744 0.228044397 21594683.798277058 3570.830390988 9.880360425 -3261854.227040648 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.083750000 
368.102225061 0.228043695 21594658.705004424 3570.829537740 9.880351304 -3261856.945138117 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.086250000 
368.100976482 0.228042947 21594634.358722258 3570.828716428 9.880342438 -3261859.561502969 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.088750000 
368.099654440 0.228042153 21594610.754977975 3570.827927694 9.880333820 -3261862.074086616 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.091250000 
368.098259384 0.228041312 21594587.889146224 3570.827172156 9.880325449 -3261864.480920936 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.093750000 
368.096791773 0.228040425 21594565.756431662 3570.826450404 9.880317319 -3261866.780126333 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.096250000 
368.095252083 0.228039492 21594544.351871632 3570.825762998 9.880309428 -3261868.969919684 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.098750000 
368.093640804 0.228038515 21594523.670339093 3570.825110465 9.880301771 -3261871.048622230 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.101250000 
368.091958437 0.228037491 21594503.706545345 3570.824493297 9.880294345 -3261873.014667438 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.103750000 
368.090205497 0.228036423 21594484.455042802 3570.823911947 9.880287145 -3261874.866608691 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.106250000 
368.088382514 0.228035311 21594465.910228018 3570.823366831 9.880280168 -3261876.603126868 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.108750000 
368.086490028 0.228034154 21594448.066344507 3570.822858319 9.880273411 -3261878.223037764 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.111250000 
368.084528593 0.228032954 21594430.917485621 3570.822386738 9.880266870 -3261879.725299280 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.113750000 
368.082498776 0.228031710 21594414.457597513 3570.821952370 9.880260540 -3261881.109018459 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.116250000 
368.080401156 0.228030423 21594398.680482145 3570.821555445 9.880254420 -3261882.373458193 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.118750000 
368.078236324 0.228029093 21594383.579800203 3570.821196144 9.880248505 -3261883.518043732 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.121250000 
368.076004881 0.228027720 21594369.149074119 3570.820874594 9.880242792 -3261884.542368852 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.123750000 
368.073707444 0.228026306 21594355.381691128 3570.820590869 9.880237278 -3261885.446201681 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.126250000 
368.071344638 0.228024850 21594342.270906221 3570.820344984 9.880231960 -3261886.229490233 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.128750000 
368.068917100 0.228023352 21594329.809845313 3570.820136898 9.880226834 -3261886.892367506 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.131250000 
368.066425479 0.228021814 21594317.991508186 3570.819966509 9.880221898 -3261887.435156224 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.133750000 
368.063870434 0.228020235 21594306.808771688 3570.819833655 9.880217149 -3261887.858373095 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.136250000 
368.061252636 0.228018616 21594296.254392758 3570.819738113 9.880212585 -3261888.162732702 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.138750000 
368.058572765 0.228016958 21594286.321011581 3570.819679594 9.880208202 -3261888.349150858 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.141250000 
368.055831512 0.228015260 21594277.001154657 3570.819657746 9.880203998 -3261888.418747535 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.143750000 
368.053029579 0.228013524 21594268.287238006 3570.819672154 9.880199971 -3261888.372849214 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.146250000 
368.050167675 0.228011750 21594260.171570282 3570.819722336 9.880196119 -3261888.212990763 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.148750000 
368.047246523 0.228009937 21594252.646355901 3570.819807744 9.880192440 -3261887.940916782 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.151250000 
368.044266853 0.228008088 21594245.703698255 3570.819927764 9.880188931 -3261887.558582329 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.153750000 
368.041229403 0.228006201 21594239.335602876 3570.820081716 9.880185591 -3261887.068153150 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.156250000 
368.038134922 0.228004278 21594233.533980515 3570.820268855 9.880182419 -3261886.472005287 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.158750000 
368.034984169 0.228002319 21594228.290650506 3570.820488369 9.880179413 -3261885.772724087 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.161250000 
368.031777909 0.228000325 21594223.597343780 3570.820739381 9.880176571 -3261884.973102630 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.163750000 
368.028516916 0.227998296 21594219.445706166 3570.821020950 9.880173892 -3261884.076139546 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.166250000 
368.025201974 0.227996233 21594215.827301562 3570.821332071 9.880171376 -3261883.085036175 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.168750000 
