Sim: 4
ID: 274
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 4
time A mass_flux Ma
0.000003139 0.418538681 6323.239580136 0.922327729 
0.000012276 0.418538681 5535.945171306 0.983317907 
0.000020803 0.418538681 5323.964290248 0.998074694 
0.000029201 0.418538681 5209.874279567 1.010886177 
0.000037545 0.418538681 5096.609606305 1.036351300 
0.000045824 0.418538681 4975.203250687 1.062126328 
0.000054047 0.418538681 4850.489086228 1.080984229 
0.000062243 0.418538681 4725.616889564 1.092212629 
0.000070432 0.418538681 4601.151560337 1.098892774 
0.000078622 0.418538681 4476.448418543 1.104940117 
0.000086812 0.418538681 4351.495896196 1.112229170 
0.000094998 0.418538681 4226.814422234 1.121174680 
0.000103175 0.418538681 4103.295531701 1.131660259 
0.000111338 0.418538681 3981.974767589 1.143403847 
0.000119485 0.418538681 3863.947769323 1.156131368 
0.000127613 0.418538681 3750.326861627 1.169657446 
0.000135719 0.418538681 3642.216877602 1.183909738 
0.000143802 0.418538681 3540.767893760 1.198928563 
0.000151857 0.418538681 3447.226438881 1.214852224 
0.000159881 0.418538681 3362.827520237 1.231879143 
0.000167870 0.418538681 3288.472510923 1.250201439 
0.000175817 0.418538681 3223.981562833 1.269875452 
0.000183719 0.418538681 3166.700604428 1.290588123 
0.000191573 0.418538681 3110.623962190 1.311488504 
0.000199382 0.418538681 3048.819299426 1.331527478 
0.000207153 0.418538681 2978.156360267 1.350195012 
0.000214890 0.418538681 2900.755697112 1.367799483 
0.000222599 0.418538681 2821.048656097 1.385056682 
0.000230281 0.418538681 2742.650766035 1.402597811 
0.000237933 0.418538681 2667.442324265 1.420796847 
0.000245556 0.418538681 2596.076037060 1.439832966 
0.000253145 0.418538681 2528.697730111 1.459804098 
0.000260699 0.418538681 2465.557471267 1.480838801 
0.000268214 0.418538681 2407.821272502 1.503270188 
0.000275685 0.418538681 2359.018072221 1.527973036 
0.000283063 0.418538681 2327.160886337 1.556687251 
0.000290312 0.418538681 2323.624812406 1.592086451 
0.000297452 0.418538681 2352.901207696 1.635561001 
0.000304494 0.418538681 2396.264695832 1.683199389 
0.000311443 0.418538681 2421.386602233 1.728123719 
0.000318299 0.418538681 2414.481674411 1.767455802 
0.000325064 0.418538681 2383.511454174 1.802818594 
0.000331742 0.418538681 2340.732338028 1.836754603 
0.000338335 0.418538681 2293.885635989 1.870954747 
0.000344846 0.418538681 2246.329518700 1.906248910 
0.000351280 0.418538681 2199.117482928 1.943003655 
0.000357640 0.418538681 2152.417629110 1.981407087 
0.000363928 0.418538681 2106.150541255 2.021597036 
0.000370150 0.418538681 2060.200291850 2.063694033 
0.000376307 0.418538681 2014.460848996 2.107790253 
0.000382403 0.418538681 1968.841603219 2.153922660 
0.000388442 0.418538681 1923.276913322 2.202040223 
0.000394426 0.418538681 1877.748851356 2.251968593 
0.000400359 0.418538681 1832.318715937 2.303375854 
0.000406244 0.418538681 1787.157398893 2.355746348 
0.000412083 0.418538681 1742.560117563 2.408376958 
0.000417879 0.418538681 1698.933403985 2.460410807 
0.000423635 0.418538681 1656.749345056 2.510915618 
0.000429353 0.418538681 1616.476811017 2.558995149 
0.000435035 0.418538681 1578.510844955 2.603903107 
0.000440684 0.418538681 1543.126042180 2.645125658 
0.000446302 0.418538681 1510.460707896 2.682410373 
0.000451890 0.418538681 1480.533529531 2.715745453 
0.000457450 0.418538681 1453.277367477 2.745307197 
0.000462984 0.418538681 1428.569231935 2.771396458 
0.000468495 0.418538681 1406.253444973 2.794384226 
0.000473986 0.418538681 1386.169876842 2.814659413 
0.000479461 0.418538681 1368.165389559 2.832597685 
0.000484921 0.418538681 1352.095310794 2.848544588 
0.000490368 0.418538681 1337.822173629 2.862807118 
0.000495804 0.418538681 1325.214762628 2.875651372 
0.000501229 0.418538681 1314.147299983 2.887303682 
0.000506645 0.418538681 1304.497667786 2.897953144 
0.000512052 0.418538681 1296.145552793 2.907754815 
0.000517450 0.418538681 1288.970705915 2.916833106 
0.000522841 0.418538681 1282.851464752 2.925285157 
0.000528224 0.418538681 1277.664896842 2.933184602 
0.000533600 0.418538681 1273.287877447 2.940585409 
0.000538969 0.418538681 1269.597893775 2.947525271 
0.000544331 0.418538681 1266.474395725 2.954028871 
0.000549687 0.418538681 1263.801050493 2.960111189 
0.000555038 0.418538681 1261.468542387 2.965780733 
0.000560382 0.418538681 1259.378015984 2.971042754 
0.000565722 0.418538681 1257.445220205 2.975902478 
0.000571057 0.418538681 1255.603403995 2.980367568 
0.000576388 0.418538681 1253.804317393 2.984449580 
0.000581715 0.418538681 1252.018123931 2.988164761 
0.000587039 0.418538681 1250.232146731 2.991534197 
0.000592360 0.418538681 1248.448336822 2.994583289 
0.000597678 0.418538681 1246.680088653 2.997340828 
