Sim: 1
Label: rocket
Time: 0.0600000000006954
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 17
vel_x Ma p T rho u massf_H2 massf_O2 massf_OH massf_H2O massf_H massf_O dx dV A_c A_s pos_x
363.314393233 0.225062137 21623245.865811989 3571.333871497 9.892033860 -3260250.324107754 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.002500000 
364.016423564 0.225499085 21613877.359639704 3571.266646219 9.887934155 -3260464.481324499 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.007500000 
364.162042870 0.225589721 21611932.857707031 3571.252685678 9.887083233 -3260508.954843824 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.012500000 
364.192263100 0.225608530 21611529.264228791 3571.249787760 9.886906619 -3260518.186617087 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.017500000 
364.198535320 0.225612434 21611445.495975565 3571.249186266 9.886869961 -3260520.102770980 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.022500000 
364.199837149 0.225613245 21611428.109374613 3571.249061422 9.886862353 -3260520.500482048 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.027500000 
364.200107351 0.225613413 21611424.500681959 3571.249035510 9.886860774 -3260520.583029431 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.032500000 
364.200163433 0.225613448 21611423.751676291 3571.249030131 9.886860446 -3260520.600162635 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.037500000 
364.200175073 0.225613455 21611423.596215695 3571.249029015 9.886860378 -3260520.603718733 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.042500000 
364.200177489 0.225613457 21611423.563948926 3571.249028783 9.886860364 -3260520.604456822 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.047500000 
364.200177991 0.225613457 21611423.557251766 3571.249028735 9.886860361 -3260520.604610017 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.052500000 
364.200178095 0.225613457 21611423.555861734 3571.249028725 9.886860360 -3260520.604641795 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.057500000 
364.200178116 0.225613457 21611423.555573229 3571.249028723 9.886860360 -3260520.604648392 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.062500000 
364.200178121 0.225613457 21611423.555513345 3571.249028723 9.886860360 -3260520.604649742 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.067500000 
364.200178122 0.225613457 21611423.555500913 3571.249028723 9.886860360 -3260520.604650028 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.072500000 
364.200178122 0.225613457 21611423.555498339 3571.249028723 9.886860360 -3260520.604650086 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.005000000 0.000795216 0.159043128 0.007068583 0.077500000 
