Sim: 3
Label: rocket
Time: 0.0029999999999986344
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 17
vel_x Ma p T rho u massf_H2 massf_O2 massf_OH massf_H2O massf_H massf_O dx dV A_c A_s pos_x
365.658641149 0.226521662 21613673.216910463 3571.095796951 9.888313821 -3261008.746657711 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.001250000 
366.367243646 0.226963144 21603868.586476661 3571.014474130 9.884053260 -3261267.810783332 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.003750000 
366.526519927 0.227062692 21601422.815528512 3570.986084298 9.883012859 -3261358.249933168 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.006250000 
366.571074127 0.227090828 21600515.247061044 3570.968781565 9.882645516 -3261413.369764627 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.008750000 
366.591678654 0.227104054 21599929.103599411 3570.953818731 9.882418753 -3261461.035541486 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.011250000 
366.607301674 0.227114179 21599410.107010156 3570.939372550 9.882221279 -3261507.055430483 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.013750000 
366.621904204 0.227123667 21598905.187799174 3570.925067004 9.882029856 -3261552.627276279 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.016250000 
366.636310410 0.227133032 21598403.335673954 3570.910828476 9.881839648 -3261597.985598348 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.018750000 
366.650688829 0.227142378 21597902.331199989 3570.896646488 9.881649671 -3261643.163774185 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.021250000 
366.665070994 0.227151724 21597401.791882165 3570.882523699 9.881459741 -3261688.153334846 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.023750000 
366.679459836 0.227161072 21596901.718704142 3570.868465446 9.881269844 -3261732.937279417 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.026250000 
366.693852339 0.227170421 21596402.192344364 3570.854477548 9.881080001 -3261777.497066190 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.028750000 
366.708244275 0.227179767 21595903.309675716 3570.840565843 9.880890241 -3261821.814104196 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.031250000 
366.722631198 0.227189107 21595405.170481998 3570.826736075 9.880700592 -3261865.870095647 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.033750000 
366.737008648 0.227198439 21594907.874668349 3570.812993863 9.880511086 -3261909.647138330 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.036250000 
366.751372197 0.227207759 21594411.521664742 3570.799344687 9.880321752 -3261953.127777472 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.038750000 
366.765717455 0.227217065 21593916.210287996 3570.785793873 9.880132621 -3261996.295046768 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.041250000 
366.780040082 0.227226354 21593422.038699601 3570.772346582 9.879943723 -3262039.132506526 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.043750000 
366.794335777 0.227235622 21592929.104383949 3570.759007797 9.879755090 -3262081.624280657 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.046250000 
366.808600291 0.227244868 21592437.504130743 3570.745782315 9.879566753 -3262123.755092606 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.048750000 
366.822829417 0.227254089 21591947.334018759 3570.732674733 9.879378742 -3262165.510300113 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.051250000 
366.837019000 0.227263281 21591458.689399812 3570.719689436 9.879191090 -3262206.875928818 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.053750000 
366.851164932 0.227272442 21590971.664883126 3570.706830593 9.879003827 -3262247.838704431 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.056250000 
366.865263155 0.227281570 21590486.354319923 3570.694102141 9.878816987 -3262288.386083368 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.058750000 
366.879309661 0.227290662 21590002.850788135 3570.681507780 9.878630602 -3262328.506281769 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.061250000 
366.893300495 0.227299714 21589521.246577557 3570.669050962 9.878444703 -3262368.188302773 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.063750000 
366.907231751 0.227308726 21589041.633175086 3570.656734885 9.878259325 -3262407.421961905 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.066250000 
366.921099578 0.227317694 21588564.101250194 3570.644562483 9.878074500 -3262446.197910513 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.068750000 
366.934900178 0.227326616 21588088.740640767 3570.632536421 9.877890263 -3262484.507657219 0.036970882 0.004957984 0.045355855 0.908467093 0.001893894 0.002354292 0.002500000 0.000397608 0.159043128 0.003534292 0.071250000 
