Sim: 4
ID: 1
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 4
time A mass_flux Ma
0.000003139 0.053014376 2184.205218889 0.140879508 
0.000012276 0.053014376 2366.065293936 0.153540350 
0.000020803 0.053014376 2374.702972967 0.154240826 
0.000029201 0.053014376 2375.156133619 0.154313206 
0.000037545 0.053014376 2375.024313815 0.154319618 
0.000045824 0.053014376 2374.874135828 0.154315150 
0.000054047 0.053014376 2374.749647442 0.154308884 
0.000062243 0.053014376 2374.648227488 0.154302865 
0.000070432 0.053014376 2374.564449571 0.154297545 
0.000078622 0.053014376 2374.494099348 0.154292942 
0.000086812 0.053014376 2374.434125287 0.154288966 
0.000094998 0.053014376 2374.382223480 0.154285505 
0.000103175 0.053014376 2374.335522916 0.154282384 
0.000111338 0.053014376 2374.280860097 0.154278728 
0.000119485 0.053014376 2374.140964628 0.154269377 
0.000127613 0.053014376 2373.576321897 0.154231639 
0.000135719 0.053014376 2371.496506191 0.154092615 
0.000143802 0.053014376 2365.272471856 0.153676533 
0.000151857 0.053014376 2350.036607369 0.152658155 
0.000159881 0.053014376 2318.801115883 0.150571661 
0.000167870 0.053014376 2263.926815754 0.146911099 
0.000175817 0.053014376 2179.683208025 0.141304178 
0.000183719 0.053014376 2064.796345246 0.133682452 
0.000191573 0.053014376 1923.632431253 0.124354806 
0.000199382 0.053014376 1765.323349935 0.113940090 
0.000207153 0.053014376 1601.347626879 0.103199622 
0.000214890 0.053014376 1442.846930990 0.092859249 
0.000222599 0.053014376 1298.744264267 0.083490311 
0.000230281 0.053014376 1175.007397141 0.075467672 
0.000237933 0.053014376 1074.796946158 0.068984152 
0.000245556 0.053014376 999.011228293 0.064088425 
0.000253145 0.053014376 946.841862327 0.060721787 
0.000260699 0.053014376 916.174506725 0.058743892 
0.000268214 0.053014376 903.839582584 0.057948396 
0.000275685 0.053014376 905.799562548 0.058074377 
0.000283063 0.053014376 917.301000979 0.058815490 
0.000290312 0.053014376 933.324544686 0.059848421 
0.000297452 0.053014376 949.411071314 0.060885796 
0.000304494 0.053014376 962.025206076 0.061699547 
0.000311443 0.053014376 968.834476807 0.062139030 
0.000318299 0.053014376 968.847335887 0.062140106 
0.000325064 0.053014376 962.314491771 0.061718900 
0.000331742 0.053014376 950.425961516 0.060952255 
0.000338335 0.053014376 934.915279099 0.059952123 
0.000344846 0.053014376 917.680090723 0.058840996 
0.000351280 0.053014376 900.495105386 0.057733338 
0.000357640 0.053014376 884.847396732 0.056724968 
0.000363928 0.053014376 871.883010212 0.055889653 
0.000370150 0.053014376 862.431864735 0.055280755 
0.000376307 0.053014376 857.074630529 0.054935582 
0.000382403 0.053014376 856.221572176 0.054880495 
0.000388442 0.053014376 860.184126202 0.055135540 
0.000394426 0.053014376 869.228737418 0.055717931 
0.000400359 0.053014376 883.608993205 0.056644129 
0.000406244 0.053014376 903.576073182 0.057930538 
0.000412083 0.053014376 929.370622669 0.059592992 
0.000417879 0.053014376 961.201020155 0.061645386 
0.000423635 0.053014376 999.214494252 0.064097823 
0.000429353 0.053014376 1043.467954857 0.066954754 
0.000435035 0.053014376 1093.904660641 0.070213474 
