Sim: 4
ID: 0
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 4
time A mass_flux Ma
0.000003139 0.053014376 4106.910261504 0.232179206 
0.000012276 0.053014376 4111.901901808 0.233973235 
0.000020803 0.053014376 4113.387679556 0.234280088 
0.000029201 0.053014376 4112.760440255 0.234312604 
0.000037545 0.053014376 4112.364916056 0.234313900 
0.000045824 0.053014376 4112.152837299 0.234310252 
0.000054047 0.053014376 4112.027289557 0.234306019 
0.000062243 0.053014376 4111.942701638 0.234302128 
0.000070432 0.053014376 4111.879537983 0.234298742 
0.000078622 0.053014376 4111.829066313 0.234295831 
0.000086812 0.053014376 4111.787011759 0.234293322 
0.000094998 0.053014376 4111.750970572 0.234291139 
0.000103175 0.053014376 4111.718565318 0.234289164 
0.000111338 0.053014376 4111.679750889 0.234286799 
0.000119485 0.053014376 4111.576409548 0.234280530 
0.000127613 0.053014376 4111.156200022 0.234255062 
0.000135719 0.053014376 4109.618615850 0.234161789 
0.000143802 0.053014376 4105.060184860 0.233884972 
0.000151857 0.053014376 4094.022263868 0.233214131 
0.000159881 0.053014376 4071.701497271 0.231857141 
0.000167870 0.053014376 4033.230690046 0.229519270 
0.000175817 0.053014376 3975.793111104 0.226033144 
0.000183719 0.053014376 3900.576096887 0.221476999 
0.000191573 0.053014376 3813.315451755 0.216203881 
0.000199382 0.053014376 3722.850468414 0.210748979 
0.000207153 0.053014376 3638.368804694 0.205661183 
0.000214890 0.053014376 3566.800480929 0.201349089 
0.000222599 0.053014376 3511.503699533 0.198007382 
0.000230281 0.053014376 3472.448020373 0.195631613 
0.000237933 0.053014376 3447.334559583 0.194085920 
0.000245556 0.053014376 3432.902197686 0.193179576 
0.000253145 0.053014376 3425.928444833 0.192724653 
0.000260699 0.053014376 3423.776435382 0.192567063 
0.000268214 0.053014376 3424.546961585 0.192594848 
0.000275685 0.053014376 3426.967157413 0.192731520 
0.000283063 0.053014376 3430.140145561 0.192921556 
0.000290312 0.053014376 3433.357627806 0.193119834 
0.000297452 0.053014376 3436.025948084 0.193288080 
0.000304494 0.053014376 3437.648760252 0.193394249 
0.000311443 0.053014376 3437.911811354 0.193417719 
0.000318299 0.053014376 3436.767297299 0.193354374 
0.000325064 0.053014376 3434.441489890 0.193217053 
0.000331742 0.053014376 3431.354412487 0.193030708 
0.000338335 0.053014376 3427.993250175 0.192824770 
0.000344846 0.053014376 3424.795245348 0.192626044 
