Sim: 3
ID: 0
Description: Test run of cold flow MSSE simulation with Ma 0.1 initialisation
Variables: 4
time A mass_flux Ma
0.000009900 0.053014376 4108.837809494 0.233655874 
0.000019900 0.053014376 4113.436054247 0.234270357 
0.000029900 0.053014376 4112.709668669 0.234312875 
0.000039900 0.053014376 4112.283110385 0.234312591 
0.000049900 0.053014376 4112.075401434 0.234307660 
0.000059900 0.053014376 4111.956545379 0.234302733 
0.000069900 0.053014376 4111.876218279 0.234298522 
0.000079900 0.053014376 4111.815568787 0.234295020 
0.000089900 0.053014376 4111.766750520 0.234292093 
0.000099900 0.053014376 4111.725642936 0.234289594 
0.000109900 0.053014376 4111.683375205 0.234287017 
0.000119900 0.053014376 4111.565721550 0.234279879 
0.000129900 0.053014376 4110.912011782 0.234240255 
0.000139900 0.053014376 4107.899069969 0.234057405 
0.000149900 0.053014376 4097.748040102 0.233440629 
0.000159900 0.053014376 4071.987527086 0.231874574 
0.000169900 0.053014376 4020.885893193 0.228769613 
0.000179900 0.053014376 3939.375540488 0.223826027 
0.000189900 0.053014376 3832.792294484 0.217379917 
0.000199900 0.053014376 3716.954993747 0.210393965 
0.000209900 0.053014376 3611.058483562 0.204016601 
0.000219900 0.053014376 3528.688981875 0.199047842 
0.000229900 0.053014376 3473.750786212 0.195711441 
0.000239900 0.053014376 3442.499967046 0.193785052 
0.000249900 0.053014376 3428.016172538 0.192864323 
0.000259900 0.053014376 3423.722029766 0.192565870 
0.000269900 0.053014376 3424.914650998 0.192613705 
0.000279900 0.053014376 3428.708133280 0.192834581 
0.000289900 0.053014376 3433.210170179 0.193110380 
0.000299900 0.053014376 3436.796030872 0.193337322 
0.000309900 0.053014376 3438.065959089 0.193425536 
0.000319900 0.053014376 3436.386340939 0.193332546 
0.000329900 0.053014376 3432.292651051 0.193087871 
0.000339900 0.053014376 3427.189890734 0.192775304 
0.000349900 0.053014376 3422.569893359 0.192485936 
0.000359900 0.053014376 3419.404730991 0.192281158 
0.000369900 0.053014376 3418.060240752 0.192186437 
0.000379900 0.053014376 3418.572804400 0.192206980 
0.000389900 0.053014376 3420.989097643 0.192347632 
0.000399900 0.053014376 3425.613488839 0.192627653 
0.000409900 0.053014376 3433.156186940 0.193089694 
0.000419900 0.053014376 3444.813383002 0.193804617 
0.000429900 0.053014376 3462.272322205 0.194871807 
0.000439900 0.053014376 3487.586573747 0.196411944 
0.000449900 0.053014376 3522.873875425 0.198549668 
0.000459900 0.053014376 3569.876954104 0.201388467 
0.000469900 0.053014376 3629.537213465 0.204986229 
0.000479900 0.053014376 3701.756570559 0.209341361 
0.000489900 0.053014376 3785.430056996 0.214394180 
0.000499900 0.053014376 3878.697939329 0.220040796 
0.000509900 0.053014376 3979.288968008 0.226152315 
0.000519900 0.053014376 4084.834700845 0.232592603 
0.000529900 0.053014376 4193.091279657 0.239230947 
0.000539900 0.053014376 4302.060898317 0.245949138 
0.000549900 0.053014376 4410.036417134 0.252644223 
0.000559900 0.053014376 4515.599934660 0.259228675 
0.000569900 0.053014376 4617.600455320 0.265629392 
0.000579900 0.053014376 4715.126628788 0.271786441 
0.000589900 0.053014376 4807.482635225 0.277652013 
0.000599900 0.053014376 4894.169760835 0.283189727 
0.000609900 0.053014376 4974.872661590 0.288374216 
0.000619900 0.053014376 5049.447262042 0.293190774 
0.000629900 0.053014376 5117.906520973 0.297634825 
0.000639900 0.053014376 5180.400900994 0.301710971 
0.000649900 0.053014376 5237.192093210 0.305431520 
0.000659900 0.053014376 5288.620795891 0.308814533 
0.000669900 0.053014376 5335.071322163 0.311881568 
0.000679900 0.053014376 5376.936815382 0.314655389 
0.000689900 0.053014376 5414.588604411 0.317157883 
0.000699900 0.053014376 5448.351981030 0.319408376 
0.000709900 0.053014376 5478.489036896 0.321422395 
0.000719900 0.053014376 5505.187817750 0.323210848 
0.000729900 0.053014376 5528.556367842 0.324779546 
0.000739900 0.053014376 5548.620324563 0.326128969 
0.000749900 0.053014376 5565.323353984 0.327254250 
0.000759900 0.053014376 5578.530514198 0.328145370 
0.000769900 0.053014376 5588.035235380 0.328787625 
0.000779900 0.053014376 5593.570791640 0.329162420 
0.000789900 0.053014376 5594.826866778 0.329248436 
0.000799900 0.053014376 5591.471195679 0.329023154 
0.000809900 0.053014376 5583.175489678 0.328464696 
0.000819900 0.053014376 5569.644128708 0.327553839 
0.000829900 0.053014376 5550.643572736 0.326276064 
0.000839900 0.053014376 5526.030179249 0.324623458 
0.000849900 0.053014376 5495.774113431 0.322596289 
0.000859900 0.053014376 5459.977263551 0.320204107 
0.000869900 0.053014376 5418.883479533 0.317466257 
0.000879900 0.053014376 5372.879999879 0.314411740 
0.000889900 0.053014376 5322.489596526 0.311078415 
0.000899900 0.053014376 5268.353721799 0.307511598 
0.000909900 0.053014376 5211.207740292 0.303762165 
0.000919900 0.053014376 5151.850094170 0.299884325 
0.000929900 0.053014376 5091.107878991 0.295933235 
0.000939900 0.053014376 5029.801687918 0.291962671 
0.000949900 0.053014376 4968.712629001 0.288022940 
0.000959900 0.053014376 4908.554101458 0.284159168 
0.000969900 0.053014376 4849.950273305 0.280410083 
0.000979900 0.053014376 4793.422342652 0.276807329 
0.000989900 0.053014376 4739.382740321 0.273375288 
0.000999900 0.053014376 4688.136598630 0.270131349 
0.001009900 0.053014376 4639.889193377 0.267086528 
0.001019900 0.053014376 4594.757726793 0.264246333 
0.001029900 0.053014376 4552.785755999 0.261611750 
0.001039900 0.053014376 4513.958728357 0.259180277 
0.001049900 0.053014376 4478.219376962 0.256946911 
0.001059900 0.053014376 4445.482069253 0.254905059 
0.001069900 0.053014376 4415.645520209 0.253047325 
0.001079900 0.053014376 4388.603538311 0.251366169 
0.001089900 0.053014376 4364.253655093 0.249854423 
0.001099900 0.053014376 4342.503606842 0.248505680 
0.001109900 0.053014376 4323.275710181 0.247314543 
0.001119900 0.053014376 4306.509224270 0.246276758 
0.001129900 0.053014376 4292.160838431 0.245389232 
0.001139900 0.053014376 4280.203474299 0.244649945 
0.001149900 0.053014376 4270.623646570 0.244057784 
0.001159900 0.053014376 4263.417680233 0.243612300 
0.001169900 0.053014376 4258.587125987 0.243313427 
0.001179900 0.053014376 4256.133740607 0.243161167 
0.001189900 0.053014376 4256.054399969 0.243155278 
0.001199900 0.053014376 4258.336287851 0.243294977 
0.001209900 0.053014376 4262.952656661 0.243578676 
0.001219900 0.053014376 4269.859392829 0.244003767 
0.001229900 0.053014376 4278.992547293 0.244566466 
0.001239900 0.053014376 4290.266917262 0.245261719 
0.001249900 0.053014376 4303.575695090 0.246083172 
0.001259900 0.053014376 4318.791137488 0.247023200 
0.001269900 0.053014376 4335.766156020 0.248072995 
0.001279900 0.053014376 4354.336689052 0.249222701 
0.001289900 0.053014376 4374.324686903 0.250461582 
0.001299900 0.053014376 4395.541525732 0.251778225 
0.001309900 0.053014376 4417.791661445 0.253160752 
0.001319900 0.053014376 4440.876341216 0.254597041 
0.001329900 0.053014376 4464.597205503 0.256074943 
0.001339900 0.053014376 4488.759635471 0.257582485 
0.001349900 0.053014376 4513.175727427 0.259108050 
0.001359900 0.053014376 4537.666805159 0.260640537 
0.001369900 0.053014376 4562.065411310 0.262169483 
0.001379900 0.053014376 4586.216748584 0.263685162 
0.001389900 0.053014376 4609.979569589 0.265178641 
0.001399900 0.053014376 4633.226539441 0.266641815 
0.001409900 0.053014376 4655.844117127 0.268067403 
0.001419900 0.053014376 4677.732019658 0.269448921 
0.001429900 0.053014376 4698.802346675 0.270780640 
0.001439900 0.053014376 4718.978452453 0.272057516 
0.001449900 0.053014376 4738.193656918 0.273275120 
0.001459900 0.053014376 4756.389887539 0.274429553 
0.001469900 0.053014376 4773.516339837 0.275517374 
0.001479900 0.053014376 4789.528236165 0.276535517 
0.001489900 0.053014376 4804.385750753 0.277481236 
0.001499900 0.053014376 4818.053154534 0.278352047 
0.001509900 0.053014376 4830.498216660 0.279145695 
0.001519900 0.053014376 4841.691881976 0.279860141 
0.001529900 0.053014376 4851.608225857 0.280493554 
0.001539900 0.053014376 4860.224670864 0.281044334 
0.001549900 0.053014376 4867.522434375 0.281511137 
0.001559900 0.053014376 4873.487163556 0.281892924 
0.001569900 0.053014376 4878.109704214 0.282189006 
0.001579900 0.053014376 4881.386943658 0.282399105 
0.001589900 0.053014376 4883.322664758 0.282523403 
0.001599900 0.053014376 4883.928349035 0.282562600 
0.001609900 0.053014376 4883.223870497 0.282517955 
0.001619900 0.053014376 4881.238028854 0.282391320 
0.001629900 0.053014376 4878.008880203 0.282185158 
0.001639900 0.053014376 4873.583834651 0.281902551 
0.001649900 0.053014376 4868.019503156 0.281547182 
0.001659900 0.053014376 4861.381289286 0.281123307 
0.001669900 0.053014376 4853.742734940 0.280635710 
0.001679900 0.053014376 4845.184641666 0.280089643 
0.001689900 0.053014376 4835.794000274 0.279490750 
0.001699900 0.053014376 4825.662770385 0.278844989 
0.001709900 0.053014376 4814.886557922 0.278158541 
0.001719900 0.053014376 4803.563241946 0.277437719 
0.001729900 0.053014376 4791.791602580 0.276688880 
0.001739900 0.053014376 4779.669999123 0.275918337 
0.001749900 0.053014376 4767.295142148 0.275132280 
0.001759900 0.053014376 4754.760995833 0.274336709 
0.001769900 0.053014376 4742.157837733 0.273537367 
0.001779900 0.053014376 4729.571493246 0.272739701 
0.001789900 0.053014376 4717.082751979 0.271948819 
0.001799900 0.053014376 4704.766963683 0.271169471 
0.001809900 0.053014376 4692.693802897 0.270406034 
0.001819900 0.053014376 4680.927184382 0.269662508 
0.001829900 0.053014376 4669.525305956 0.268942523 
0.001839900 0.053014376 4658.540791767 0.268249348 
0.001849900 0.053014376 4648.020907345 0.267585908 
0.001859900 0.053014376 4638.007818081 0.266954803 
0.001869900 0.053014376 4628.538864901 0.266358323 
0.001879900 0.053014376 4619.646834623 0.265798474 
0.001889900 0.053014376 4611.360207272 0.265276987 
0.001899900 0.053014376 4603.703368036 0.264795338 
0.001909900 0.053014376 4596.696776924 0.264354760 
0.001919900 0.053014376 4590.357094249 0.263956247 
0.001929900 0.053014376 4584.697264249 0.263600566 
0.001939900 0.053014376 4579.726562648 0.263288257 
0.001949900 0.053014376 4575.450616360 0.263019635 
0.001959900 0.053014376 4571.871405222 0.262794794 
0.001969900 0.053014376 4568.987256421 0.262613600 
0.001979900 0.053014376 4566.792842421 0.262475701 
0.001989900 0.053014376 4565.279192738 0.262380517 
0.001999900 0.053014376 4564.433728786 0.262327249 
0.002009900 0.053014376 4564.240329476 0.262314883 
0.002019900 0.053014376 4564.679433165 0.262342190 
0.002029900 0.053014376 4565.728179184 0.262407742 
0.002039900 0.053014376 4567.360589717 0.262509918 
0.002049900 0.053014376 4569.547790437 0.262646918 
0.002059900 0.053014376 4572.258266379 0.262816779 
0.002069900 0.053014376 4575.458148003 0.263017393 
0.002079900 0.053014376 4579.111521476 0.263246524 
0.002089900 0.053014376 4583.180756617 0.263501828 
0.002099900 0.053014376 4587.626845794 0.263780876 
0.002109900 0.053014376 4592.409747074 0.264081171 
0.002119900 0.053014376 4597.488725157 0.264400171 
0.002129900 0.053014376 4602.822683974 0.264735312 
0.002139900 0.053014376 4608.370485397 0.265084022 
0.002149900 0.053014376 4614.091249181 0.265443743 
0.002159900 0.053014376 4619.944630147 0.265811948 
0.002169900 0.053014376 4625.891069626 0.266186155 
